auction_id,round,bidder,frn,bidding_credit_pct,bidding_credit_type,eligibility,required_activity,activity,req_commitment,req_commitment_discount_capped,req_net_commitment,req_commitment_discount_uncapped,req_commitment_discount_uncapped_small,processed_activity,commitment,commitment_discount_capped,net_commitment,commitment_discount_uncapped,commitment_discount_uncapped_small,next_round_eligibility,next_round_required_activity
102,90,RSA 1 Limited Partnership,0002576411,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,90,Rock Port Telephone Company,0004362505,0,,176,176,176,253000,,,,,176,228020,,,,,176,176
102,90,SANN Consortium,0027856186,15,Rural,790,790,790,425000,63750,361250,63750,,790,385030,57755,327275,57755,,790,790
102,90,"Samba Capital Partners, LLC",0027780980,25,Small Business,5121,5121,5121,123000,30750,92250,30750,16250,5121,106000,26500,79500,26500,13500,5121,5121
102,90,Skyriver Spectrum & Technology LLC,0027662014,0,,3140,3140,3140,146000,,,,,3140,129020,,,,,3140,3140
102,90,Starry Spectrum Holdings LLC,0027855998,0,,788870,788870,788870,53362000,,,,,788870,48462600,,,,,788870,788870
102,90,T-Mobile License LLC,0001565449,0,,7153990,7153990,7153990,883309000,,,,,7153990,802414740,,,,,7153990,7153990
102,90,"TeleGuam Holdings, LLC",0011458999,0,,1050,1050,1050,520000,,,,,1050,470000,,,,,1050,1050
102,90,"The Alaska Wireless Network, LLC",0021818133,0,,1940,1940,1940,292000,,,,,1940,264979,,,,,1940,1940
102,90,"Trace Fiber Networks, LLC",0027848720,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,90,"Tradewinds Wireless Holdings, LLC",0025259615,25,Small Business,1203,1203,1203,483000,120750,362250,120750,120750,1203,435070,108768,326302,108768,108768,1203,1203
102,90,Tri County Radio,0013444575,25,Small Business,240,240,0,0,0,0,0,0,240,5000,1250,3750,1250,1250,240,240
102,90,Union Telephone Company,0001630201,15,Rural,1800,1800,904,1616000,242400,1373600,242400,,1800,1481220,222183,1259037,222183,,1800,1800
102,90,United States Cellular Corporation,0004372322,0,,180336,180336,173646,124980000,,,,,180336,120468929,,,,,180336,180336
102,90,"Windstream Services, LLC",0014400220,0,,30997,30997,30347,22070000,,,,,30997,20439360,,,,,30997,30997
102,90,"van Steenis, Ryan",0027850510,25,Small Business,81,81,81,17000,4250,12750,4250,4250,81,12910,3228,9682,3228,3228,81,81
102,89,8538 GREEN STREET LLC,0003488897,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,89,AT&T Spectrum Frontiers LLC,0027840180,0,,5814015,5814015,5802972,1047509000,,,,,5814015,953996956,,,,,5814015,5814015
102,89,ATI Sub LLC,0017806043,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,89,"Arctic Slope Telephone Association Cooperative, In",0001570936,0,,150,150,150,7000,,,,,150,5800,,,,,150,150
102,89,Aries Wireless LLC,0027834787,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,89,"Atlantic Seawinds Communications, LLC",0004383485,15,Rural,420,420,0,0,0,0,0,,420,154000,23100,130900,23100,,420,420
102,89,"BDCIH Wireless, LLC",0027848175,15,Rural,1638,1638,1638,44000,6600,37400,6600,,1638,32920,4938,27982,4938,,1638,1638
102,89,Bluegrass Consortium,0025234709,15,Rural,6330,6330,6330,4475000,671250,3803750,671250,,6330,4065020,609753,3455267,609753,,6330,6330
102,89,Cellco Partnership d/b/a Verizon Wireless,0003290673,0,,149800,149800,0,0,,,,,149800,15255000,,,,,149800,149800
102,89,Central Broadband 24/28 GHz Consortium,0027840818,15,Rural,1598,1598,1598,1292000,193800,1098200,193800,,1598,1170980,175647,995333,175647,,1598,1598
102,89,"Cordova Telephone Cooperative, Inc.",0001571181,25,Small Business,600,600,600,171000,42750,128250,42750,42750,600,154998,38750,116248,38750,38750,600,600
102,89,Crestone Wireless L.L.C.,0027851781,0,,519378,519378,519378,12985000,,,,,519378,11807190,,,,,519378,519378
102,89,"Docomo Pacific, Inc.",0004242723,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,89,"FTC Management Group, Inc.",0004600268,15,Rural,920,920,0,0,0,0,0,,920,18600,2790,15810,2790,,920,920
102,89,High Band License Co LLC,0027843630,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,89,"Horry Telephone Cooperative, Inc.",0001886944,15,Rural,2670,2670,2670,1191000,178650,1012350,178650,,2670,1079011,161852,917159,161852,,2670,2670
102,89,Kitsune Communications LLC,0027808245,25,Small Business,35,35,35,11000,2750,8250,2750,2750,35,8300,2075,6225,2075,2075,35,35
102,89,"LICT Wireless Broadband Company, LLC",0025243858,0,,9230,9230,8680,4485000,,,,,9230,4807060,,,,,9230,9230
102,89,"NBVDS Investment, L.L.C.",0017194986,15,Rural,2410,2410,2410,1131000,169650,961350,169650,,2410,1024001,153600,870401,153600,,2410,2410
102,89,"Nsight Spectrum, LLC",0020519138,0,,277,277,277,57000,,,,,277,51000,,,,,277,277
102,89,"Nuvera Communications, Inc.",0003739430,15,Rural,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0
102,89,"Public Service Wireless Services, Inc.",0007024607,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,89,RSA 1 Limited Partnership,0002576411,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,89,Rock Port Telephone Company,0004362505,0,,176,176,176,253000,,,,,176,228020,,,,,176,176
102,89,SANN Consortium,0027856186,15,Rural,790,790,790,425000,63750,361250,63750,,790,385030,57755,327275,57755,,790,790
102,89,"Samba Capital Partners, LLC",0027780980,25,Small Business,5121,5121,5121,123000,30750,92250,30750,16250,5121,106000,26500,79500,26500,13500,5121,5121
102,89,Skyriver Spectrum & Technology LLC,0027662014,0,,3140,3140,3140,146000,,,,,3140,129020,,,,,3140,3140
102,89,Starry Spectrum Holdings LLC,0027855998,0,,788870,788870,788870,53362000,,,,,788870,48462600,,,,,788870,788870
102,89,T-Mobile License LLC,0001565449,0,,7153990,7153990,7153990,883309000,,,,,7153990,802414740,,,,,7153990,7153990
102,89,"TeleGuam Holdings, LLC",0011458999,0,,1050,1050,1050,520000,,,,,1050,470000,,,,,1050,1050
102,89,"The Alaska Wireless Network, LLC",0021818133,0,,1940,1940,1940,286000,,,,,1940,258979,,,,,1940,1940
102,89,"Trace Fiber Networks, LLC",0027848720,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,89,"Tradewinds Wireless Holdings, LLC",0025259615,25,Small Business,1203,1203,1203,483000,120750,362250,120750,120750,1203,435070,108768,326302,108768,108768,1203,1203
102,89,Tri County Radio,0013444575,25,Small Business,240,240,0,0,0,0,0,0,240,5000,1250,3750,1250,1250,240,240
102,89,Union Telephone Company,0001630201,15,Rural,1800,1800,829,1595000,239250,1355750,239250,,1800,1481220,222183,1259037,222183,,1800,1800
102,89,United States Cellular Corporation,0004372322,0,,180336,180336,173646,124980000,,,,,180336,120468929,,,,,180336,180336
102,89,"Windstream Services, LLC",0014400220,0,,30997,30997,30347,22070000,,,,,30997,20439360,,,,,30997,30997
102,89,"van Steenis, Ryan",0027850510,25,Small Business,81,81,81,17000,4250,12750,4250,4250,81,12910,3228,9682,3228,3228,81,81
102,88,8538 GREEN STREET LLC,0003488897,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,88,AT&T Spectrum Frontiers LLC,0027840180,0,,5814015,5814015,5802972,1047509000,,,,,5814015,953996956,,,,,5814015,5814015
102,88,ATI Sub LLC,0017806043,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,88,"Arctic Slope Telephone Association Cooperative, In",0001570936,0,,150,150,150,7000,,,,,150,5800,,,,,150,150
102,88,Aries Wireless LLC,0027834787,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,88,"Atlantic Seawinds Communications, LLC",0004383485,15,Rural,420,420,0,0,0,0,0,,420,154000,23100,130900,23100,,420,420
102,88,"BDCIH Wireless, LLC",0027848175,15,Rural,1638,1638,1638,44000,6600,37400,6600,,1638,32920,4938,27982,4938,,1638,1638
102,88,Bluegrass Consortium,0025234709,15,Rural,6330,6330,6330,4475000,671250,3803750,671250,,6330,4065020,609753,3455267,609753,,6330,6330
102,88,Cellco Partnership d/b/a Verizon Wireless,0003290673,0,,149800,149800,0,0,,,,,149800,15255000,,,,,149800,149800
102,88,Central Broadband 24/28 GHz Consortium,0027840818,15,Rural,1598,1598,1598,1292000,193800,1098200,193800,,1598,1170980,175647,995333,175647,,1598,1598
102,88,"Cordova Telephone Cooperative, Inc.",0001571181,25,Small Business,600,600,600,171000,42750,128250,42750,42750,600,154998,38750,116248,38750,38750,600,600
102,88,Crestone Wireless L.L.C.,0027851781,0,,519378,519378,519378,12975000,,,,,519378,11797190,,,,,519378,519378
102,88,"Docomo Pacific, Inc.",0004242723,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,88,"FTC Management Group, Inc.",0004600268,15,Rural,920,920,0,0,0,0,0,,920,18600,2790,15810,2790,,920,920
102,88,High Band License Co LLC,0027843630,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,88,"Horry Telephone Cooperative, Inc.",0001886944,15,Rural,2670,2670,2670,1191000,178650,1012350,178650,,2670,1079011,161852,917159,161852,,2670,2670
102,88,Kitsune Communications LLC,0027808245,25,Small Business,35,35,35,11000,2750,8250,2750,2750,35,8300,2075,6225,2075,2075,35,35
102,88,"LICT Wireless Broadband Company, LLC",0025243858,0,,9230,9230,8680,4485000,,,,,9230,4807060,,,,,9230,9230
102,88,"NBVDS Investment, L.L.C.",0017194986,15,Rural,2410,2410,2410,1131000,169650,961350,169650,,2410,1024001,153600,870401,153600,,2410,2410
102,88,"Nsight Spectrum, LLC",0020519138,0,,277,277,277,57000,,,,,277,51000,,,,,277,277
102,88,"Nuvera Communications, Inc.",0003739430,15,Rural,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0
102,88,"Public Service Wireless Services, Inc.",0007024607,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,88,RSA 1 Limited Partnership,0002576411,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,88,Rock Port Telephone Company,0004362505,0,,176,176,176,253000,,,,,176,228020,,,,,176,176
102,88,SANN Consortium,0027856186,15,Rural,790,790,790,425000,63750,361250,63750,,790,385030,57755,327275,57755,,790,790
102,88,"Samba Capital Partners, LLC",0027780980,25,Small Business,5121,5121,5121,123000,30750,92250,30750,16250,5121,106000,26500,79500,26500,13500,5121,5121
102,88,Skyriver Spectrum & Technology LLC,0027662014,0,,3140,3140,3140,146000,,,,,3140,129020,,,,,3140,3140
102,88,Starry Spectrum Holdings LLC,0027855998,0,,788870,788870,788870,53362000,,,,,788870,48462600,,,,,788870,788870
102,88,T-Mobile License LLC,0001565449,0,,7153990,7153990,7153990,883309000,,,,,7153990,802414740,,,,,7153990,7153990
102,88,"TeleGuam Holdings, LLC",0011458999,0,,1050,1050,1050,520000,,,,,1050,470000,,,,,1050,1050
102,88,"The Alaska Wireless Network, LLC",0021818133,0,,1940,1940,1940,281000,,,,,1940,253979,,,,,1940,1940
102,88,"Trace Fiber Networks, LLC",0027848720,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,88,"Tradewinds Wireless Holdings, LLC",0025259615,25,Small Business,1203,1203,1203,483000,120750,362250,120750,120750,1203,435070,108768,326302,108768,108768,1203,1203
102,88,Tri County Radio,0013444575,25,Small Business,240,240,0,0,0,0,0,0,240,5000,1250,3750,1250,1250,240,240
102,88,Union Telephone Company,0001630201,15,Rural,1800,1800,829,1595000,239250,1355750,239250,,1800,1481220,222183,1259037,222183,,1800,1800
102,88,United States Cellular Corporation,0004372322,0,,180336,180336,173646,124980000,,,,,180336,120468929,,,,,180336,180336
102,88,"Windstream Services, LLC",0014400220,0,,30997,30997,30347,22070000,,,,,30997,20439360,,,,,30997,30997
102,88,"van Steenis, Ryan",0027850510,25,Small Business,81,81,81,17000,4250,12750,4250,4250,81,12910,3228,9682,3228,3228,81,81
102,87,8538 GREEN STREET LLC,0003488897,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,87,AT&T Spectrum Frontiers LLC,0027840180,0,,5814015,5814015,5802972,1047509000,,,,,5814015,953996956,,,,,5814015,5814015
102,87,ATI Sub LLC,0017806043,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,87,"Arctic Slope Telephone Association Cooperative, In",0001570936,0,,150,150,150,7000,,,,,150,5800,,,,,150,150
102,87,Aries Wireless LLC,0027834787,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,87,"Atlantic Seawinds Communications, LLC",0004383485,15,Rural,420,420,0,0,0,0,0,,420,154000,23100,130900,23100,,420,420
102,87,"BDCIH Wireless, LLC",0027848175,15,Rural,1638,1638,1638,44000,6600,37400,6600,,1638,32920,4938,27982,4938,,1638,1638
102,87,Bluegrass Consortium,0025234709,15,Rural,6330,6330,6330,4475000,671250,3803750,671250,,6330,4065020,609753,3455267,609753,,6330,6330
102,87,Cellco Partnership d/b/a Verizon Wireless,0003290673,0,,149800,149800,0,0,,,,,149800,15255000,,,,,149800,149800
102,87,Central Broadband 24/28 GHz Consortium,0027840818,15,Rural,1598,1598,1598,1292000,193800,1098200,193800,,1598,1170980,175647,995333,175647,,1598,1598
102,87,"Cordova Telephone Cooperative, Inc.",0001571181,25,Small Business,600,600,600,171000,42750,128250,42750,42750,600,154998,38750,116248,38750,38750,600,600
102,87,Crestone Wireless L.L.C.,0027851781,0,,519378,519378,519378,12965000,,,,,519378,11787190,,,,,519378,519378
102,87,"Docomo Pacific, Inc.",0004242723,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,87,"FTC Management Group, Inc.",0004600268,15,Rural,920,920,0,0,0,0,0,,920,18600,2790,15810,2790,,920,920
102,87,High Band License Co LLC,0027843630,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,87,"Horry Telephone Cooperative, Inc.",0001886944,15,Rural,2670,2670,2670,1191000,178650,1012350,178650,,2670,1079011,161852,917159,161852,,2670,2670
102,87,Kitsune Communications LLC,0027808245,25,Small Business,35,35,35,11000,2750,8250,2750,2750,35,8300,2075,6225,2075,2075,35,35
102,87,"LICT Wireless Broadband Company, LLC",0025243858,0,,9230,9230,8680,4485000,,,,,9230,4807060,,,,,9230,9230
102,87,"NBVDS Investment, L.L.C.",0017194986,15,Rural,2410,2410,2410,1131000,169650,961350,169650,,2410,1024001,153600,870401,153600,,2410,2410
102,87,"Nsight Spectrum, LLC",0020519138,0,,277,277,277,57000,,,,,277,51000,,,,,277,277
102,87,"Nuvera Communications, Inc.",0003739430,15,Rural,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0
102,87,"Public Service Wireless Services, Inc.",0007024607,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,87,RSA 1 Limited Partnership,0002576411,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,87,Rock Port Telephone Company,0004362505,0,,176,176,176,253000,,,,,176,228020,,,,,176,176
102,87,SANN Consortium,0027856186,15,Rural,790,790,790,425000,63750,361250,63750,,790,385030,57755,327275,57755,,790,790
102,87,"Samba Capital Partners, LLC",0027780980,25,Small Business,5121,5121,5121,123000,30750,92250,30750,16250,5121,106000,26500,79500,26500,13500,5121,5121
102,87,Skyriver Spectrum & Technology LLC,0027662014,0,,3140,3140,3140,146000,,,,,3140,129020,,,,,3140,3140
102,87,Starry Spectrum Holdings LLC,0027855998,0,,788870,788870,788870,53362000,,,,,788870,48462600,,,,,788870,788870
102,87,T-Mobile License LLC,0001565449,0,,7153990,7153990,7153990,883309000,,,,,7153990,802414740,,,,,7153990,7153990
102,87,"TeleGuam Holdings, LLC",0011458999,0,,1050,1050,1050,520000,,,,,1050,470000,,,,,1050,1050
102,87,"The Alaska Wireless Network, LLC",0021818133,0,,1940,1940,1940,276000,,,,,1940,248979,,,,,1940,1940
102,87,"Trace Fiber Networks, LLC",0027848720,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,87,"Tradewinds Wireless Holdings, LLC",0025259615,25,Small Business,1203,1203,1203,483000,120750,362250,120750,120750,1203,435070,108768,326302,108768,108768,1203,1203
102,87,Tri County Radio,0013444575,25,Small Business,240,240,0,0,0,0,0,0,240,5000,1250,3750,1250,1250,240,240
102,87,Union Telephone Company,0001630201,15,Rural,1800,1800,829,1595000,239250,1355750,239250,,1800,1481220,222183,1259037,222183,,1800,1800
102,87,United States Cellular Corporation,0004372322,0,,180336,180336,173646,124980000,,,,,180336,120468929,,,,,180336,180336
102,87,"Windstream Services, LLC",0014400220,0,,30997,30997,30347,22070000,,,,,30997,20439360,,,,,30997,30997
102,87,"van Steenis, Ryan",0027850510,25,Small Business,81,81,81,17000,4250,12750,4250,4250,81,12910,3228,9682,3228,3228,81,81
102,86,8538 GREEN STREET LLC,0003488897,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,86,AT&T Spectrum Frontiers LLC,0027840180,0,,5814015,5814015,5802972,1047509000,,,,,5814015,953996956,,,,,5814015,5814015
102,86,ATI Sub LLC,0017806043,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,86,"Arctic Slope Telephone Association Cooperative, In",0001570936,0,,150,150,150,7000,,,,,150,5800,,,,,150,150
102,86,Aries Wireless LLC,0027834787,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,86,"Atlantic Seawinds Communications, LLC",0004383485,15,Rural,420,420,0,0,0,0,0,,420,154000,23100,130900,23100,,420,420
102,86,"BDCIH Wireless, LLC",0027848175,15,Rural,1638,1638,1638,44000,6600,37400,6600,,1638,32920,4938,27982,4938,,1638,1638
102,86,Bluegrass Consortium,0025234709,15,Rural,6330,6330,6330,4475000,671250,3803750,671250,,6330,4065020,609753,3455267,609753,,6330,6330
102,86,Cellco Partnership d/b/a Verizon Wireless,0003290673,0,,149800,149800,0,0,,,,,149800,15255000,,,,,149800,149800
102,86,Central Broadband 24/28 GHz Consortium,0027840818,15,Rural,1598,1598,1598,1292000,193800,1098200,193800,,1598,1170980,175647,995333,175647,,1598,1598
102,86,"Cordova Telephone Cooperative, Inc.",0001571181,25,Small Business,600,600,600,171000,42750,128250,42750,42750,600,154998,38750,116248,38750,38750,600,600
102,86,Crestone Wireless L.L.C.,0027851781,0,,519378,519378,519378,12957000,,,,,519378,11779190,,,,,519378,519378
102,86,"Docomo Pacific, Inc.",0004242723,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,86,"FTC Management Group, Inc.",0004600268,15,Rural,920,920,0,0,0,0,0,,920,18600,2790,15810,2790,,920,920
102,86,High Band License Co LLC,0027843630,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,86,"Horry Telephone Cooperative, Inc.",0001886944,15,Rural,2670,2670,2670,1191000,178650,1012350,178650,,2670,1079011,161852,917159,161852,,2670,2670
102,86,Kitsune Communications LLC,0027808245,25,Small Business,35,35,35,11000,2750,8250,2750,2750,35,8300,2075,6225,2075,2075,35,35
102,86,"LICT Wireless Broadband Company, LLC",0025243858,0,,9230,9230,8680,4485000,,,,,9230,4807060,,,,,9230,9230
102,86,"NBVDS Investment, L.L.C.",0017194986,15,Rural,2410,2410,2410,1131000,169650,961350,169650,,2410,1024001,153600,870401,153600,,2410,2410
102,86,"Nsight Spectrum, LLC",0020519138,0,,277,277,277,57000,,,,,277,51000,,,,,277,277
102,86,"Nuvera Communications, Inc.",0003739430,15,Rural,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0
102,86,"Public Service Wireless Services, Inc.",0007024607,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,86,RSA 1 Limited Partnership,0002576411,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,86,Rock Port Telephone Company,0004362505,0,,176,176,176,253000,,,,,176,228020,,,,,176,176
102,86,SANN Consortium,0027856186,15,Rural,790,790,790,425000,63750,361250,63750,,790,385030,57755,327275,57755,,790,790
102,86,"Samba Capital Partners, LLC",0027780980,25,Small Business,5121,5121,5121,123000,30750,92250,30750,16250,5121,106000,26500,79500,26500,13500,5121,5121
