auction_id,auction_description,round,start_time,end_time,proceeds,net_proceeds,activity_requirement_percentage,contingent_bidding_limit_percentage,increment_percentage,increment_cap,products_with_aggregate_demand_greater_than_1,products_with_aggregate_demand_equal_to_1,products_with_aggregate_demand_equal_to_0
108,2.5 GHz,10,2022-08-05 10:00:00,2022-08-05 12:00:00,146551500,141302211,95,120,10,10000000,1985,5870,162
108,2.5 GHz,9,2022-08-04 14:00:00,2022-08-04 16:00:00,143048170,138088840,95,120,10,10000000,1997,5858,162
108,2.5 GHz,8,2022-08-04 10:00:00,2022-08-04 12:00:00,138740840,134075307,95,120,10,10000000,2158,5695,164
108,2.5 GHz,7,2022-08-03 14:00:00,2022-08-03 16:00:00,135193010,130898521,95,120,10,10000000,2229,5624,164
108,2.5 GHz,6,2022-08-03 10:00:00,2022-08-03 12:00:00,132177910,128207727,95,120,10,10000000,2266,5587,164
108,2.5 GHz,5,2022-08-02 14:00:00,2022-08-02 16:00:00,128903450,125316802,95,120,10,10000000,3213,4639,165
108,2.5 GHz,4,2022-08-02 10:00:00,2022-08-02 12:00:00,121800570,118487891,95,120,10,10000000,3285,4567,165
108,2.5 GHz,3,2022-08-01 14:00:00,2022-08-01 16:00:00,115266210,112312380,95,120,10,10000000,3339,4513,165
108,2.5 GHz,2,2022-08-01 10:00:00,2022-08-01 12:00:00,108464260,105820506,95,120,10,10000000,3392,4459,166
108,2.5 GHz,1,2022-07-29 10:00:00,2022-07-29 16:00:00,103467300,100654560,95,100,10,10000000,3454,4395,168
